city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Johannesburg,-26.2044,28.0456,South Africa,ZA,Gauteng,admin,8500000,4434827
Cape Town,-33.9253,18.4239,South Africa,ZA,Western Cape,primary,4770313,4770313
Soweto,-26.2678,27.8585,South Africa,ZA,Gauteng,,1271628,1271628
Gqeberha,-33.9581,25.6000,South Africa,ZA,Eastern Cape,,967677,967677
Pietermaritzburg,-29.6167,30.3833,South Africa,ZA,KwaZulu-Natal,admin,839327,839327
Durban,-29.8833,31.0500,South Africa,ZA,KwaZulu-Natal,,838634,536644
Pretoria,-25.7461,28.1881,South Africa,ZA,Gauteng,primary,741651,741651
Rustenburg,-25.6667,27.2428,South Africa,ZA,North West,,549575,549575
Newcastle,-27.7464,29.9328,South Africa,ZA,KwaZulu-Natal,,507710,507710
East London,-33.0175,27.9047,South Africa,ZA,Eastern Cape,,478676,478676
Katlehong,-26.3333,28.1500,South Africa,ZA,Gauteng,,467890,467890
Khayelitsha,-34.0403,18.6778,South Africa,ZA,Western Cape,,391749,391749
Randburg,-26.0936,28.0064,South Africa,ZA,Gauteng,,337053,337053
Roodepoort,-26.1625,27.8725,South Africa,ZA,Gauteng,,326416,326416
Mitchells Plain,-34.0506,18.6181,South Africa,ZA,Western Cape,,310485,310485
Boksburg,-26.2125,28.2625,South Africa,ZA,Gauteng,,260321,260321
Bloemfontein,-29.1167,26.2167,South Africa,ZA,Free State,primary,256185,256185
Germiston,-26.2178,28.1672,South Africa,ZA,Gauteng,,255863,255863
Centurion,-25.8603,28.1894,South Africa,ZA,Gauteng,,236580,236580
Kimberley,-28.7383,24.7639,South Africa,ZA,Northern Cape,admin,225160,225160
Sandton,-26.1070,28.0517,South Africa,ZA,Gauteng,,222415,222415
Klerksdorp,-26.8667,26.6667,South Africa,ZA,North West,,186515,186515
Bethelsdorp,-33.8833,25.5000,South Africa,ZA,Eastern Cape,,182012,182012
Kempton Park,-26.1000,28.2333,South Africa,ZA,Gauteng,,171575,171575
Nqutu,-28.2320,30.5660,South Africa,ZA,KwaZulu-Natal,,170307,170307
Kroonstad,-27.6500,27.2333,South Africa,ZA,Free State,,168762,168762
Benoni,-26.1883,28.3206,South Africa,ZA,Gauteng,,158777,158777
George,-33.9667,22.4500,South Africa,ZA,Western Cape,,157394,157394
Potchefstroom,-26.7150,27.1033,South Africa,ZA,North West,,148804,148804
Pinetown,-29.8167,30.8500,South Africa,ZA,KwaZulu-Natal,,144026,144026
Krugersdorp,-26.1000,27.7667,South Africa,ZA,Gauteng,,140643,140643
Mthatha,-31.5800,28.7900,South Africa,ZA,Eastern Cape,,137772,137772
Polokwane,-23.9000,29.4500,South Africa,ZA,Limpopo,admin,130028,130028
Springs,-26.2547,28.4428,South Africa,ZA,Gauteng,,121610,121610
Alberton,-26.2672,28.1219,South Africa,ZA,Gauteng,,121536,121536
Upington,-28.4500,21.2500,South Africa,ZA,Northern Cape,,121189,121189
Winterveld,-25.4200,27.9490,South Africa,ZA,North West,,120826,120826
Parow,-33.9000,18.6000,South Africa,ZA,Western Cape,,119462,119462
Paarl,-33.7242,18.9558,South Africa,ZA,Western Cape,,112045,112045
Empangeni,-28.7500,31.9000,South Africa,ZA,KwaZulu-Natal,,110340,110340
Witbank,-25.8770,29.2010,South Africa,ZA,Mpumalanga,,108673,108673
Uitenhage,-33.7667,25.4000,South Africa,ZA,Eastern Cape,,103639,103639
KwaDukuza,-29.3333,31.2917,South Africa,ZA,KwaZulu-Natal,,101224,101224
Worcester,-33.6450,19.4436,South Africa,ZA,Western Cape,,97098,97098
Grahamstown,-33.2996,26.5200,South Africa,ZA,Eastern Cape,,91548,91548
Oudtshoorn,-33.5833,22.2000,South Africa,ZA,Western Cape,,90822,90822
Ermelo,-26.5333,29.9833,South Africa,ZA,Mpumalanga,,83865,83865
Stellenbosch,-33.9367,18.8614,South Africa,ZA,Western Cape,,77476,77476
Sasolburg,-26.8142,27.8286,South Africa,ZA,Free State,,76349,76349
Thaba Nchu,-29.2000,26.8333,South Africa,ZA,Free State,,70118,70118
Kwamhlanga,-25.4320,28.7080,South Africa,ZA,Gauteng,,69853,69853
Thohoyandou,-22.9500,30.4833,South Africa,ZA,Limpopo,,69453,69453
Queenstown,-31.9000,26.8833,South Africa,ZA,Eastern Cape,,68872,68872
Odendaalsrus,-27.8667,26.6833,South Africa,ZA,Free State,,63743,63743
Bethal,-26.4500,29.4500,South Africa,ZA,Mpumalanga,,60779,60779
Mossel Bay,-34.1833,22.1333,South Africa,ZA,Western Cape,,59031,59031
Wellington,-33.6333,18.9833,South Africa,ZA,Western Cape,,55543,55543
Queensburgh,-29.8667,30.9333,South Africa,ZA,KwaZulu-Natal,,54846,54846
Phuthaditjhaba,-28.5333,28.8167,South Africa,ZA,Free State,,54661,54661
Kokstad,-30.5539,29.4269,South Africa,ZA,KwaZulu-Natal,,51561,51561
Edenvale,-26.1411,28.1528,South Africa,ZA,Gauteng,,49292,49292
Vryheid,-27.7669,30.8000,South Africa,ZA,KwaZulu-Natal,,47365,47365
Kuilsrivier,-33.9414,18.7066,South Africa,ZA,Western Cape,,46686,46686
Bothaville,-27.3833,26.6167,South Africa,ZA,Free State,,46030,46030
Parys,-26.9000,27.4500,South Africa,ZA,Free State,,45868,45868
